Deg <3 Points,Deg 1 Points,All Points
"[(397.8896484375, 23.712466501659378), (77.8896484375, 23.712466501659378), (107.0615234375, 193.72809150165938)]","[(77.8896484375, 23.712466501659378)]","[(397.8896484375, 23.712466501659378), (77.8896484375, 23.712466501659378), (468.5073500350293, 94.33016809918865), (107.0615234375, 193.72809150165938)]"
"[(397.8896484375, 23.712466501659378), (77.8896484375, 23.712466501659378), (107.0615234375, 193.72809150165938)]","[(77.8896484375, 23.712466501659378)]","[(397.8896484375, 23.712466501659378), (77.8896484375, 23.712466501659378), (468.5073500350293, 94.33016809918865), (107.0615234375, 193.72809150165938)]"
"[(135.37759729631, 398.015625), (353.15884729631, 62.375)]",[],"[(426.20572229631, 228.0), (106.20572229631, 228.0), (496.8234238938393, 298.6177015975293), (135.37759729631, 398.015625), (34.69837226128067, 156.66983190081135), (353.15884729631, 62.375)]"
"[(135.37759729631, 398.015625), (353.15884729631, 62.375)]",[],"[(426.20572229631, 228.0), (106.20572229631, 228.0), (496.8234238938393, 298.6177015975293), (135.37759729631, 398.015625), (34.69837226128067, 156.66983190081135), (353.15884729631, 62.375)]"
"[(240.0, 238.4375)]",[],"[(426.20572229631, 228.0), (106.20572229631, 228.0), (496.8234238938393, 298.6177015975293), (135.37759729631, 398.015625), (34.69837226128067, 156.66983190081135), (353.15884729631, 62.375), (240.0, 238.4375)]"
"[(240.0, 238.4375)]",[],"[(426.20572229631, 228.0), (106.20572229631, 228.0), (496.8234238938393, 298.6177015975293), (135.37759729631, 398.015625), (34.69837226128067, 156.66983190081135), (353.15884729631, 62.375), (240.0, 238.4375)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(340.0, 20.0), (20.0, 20.0)]","[(340.0, 20.0), (20.0, 20.0)]","[(340.0, 20.0), (20.0, 20.0)]"
"[(340.0, 20.0), (20.0, 20.0)]","[(340.0, 20.0), (20.0, 20.0)]","[(340.0, 20.0), (20.0, 20.0)]"
"[(381.25, 150.0), (61.25, 150.0), (356.0390625, 34.2265625)]","[(61.25, 150.0)]","[(381.25, 150.0), (61.25, 150.0), (165.0, 125.703125), (356.0390625, 34.2265625)]"
"[(381.25, 150.0), (61.25, 150.0), (356.0390625, 34.2265625)]","[(61.25, 150.0)]","[(381.25, 150.0), (61.25, 150.0), (165.0, 125.703125), (356.0390625, 34.2265625)]"
"[(356.0390625, 34.2265625), (335.6171875, 247.90625)]",[],"[(381.25, 150.0), (61.25, 150.0), (165.0, 125.703125), (356.0390625, 34.2265625), (131.61770159752933, 220.61770159752928), (335.6171875, 247.90625)]"
"[(356.0390625, 34.2265625), (335.6171875, 247.90625)]",[],"[(381.25, 150.0), (61.25, 150.0), (165.0, 125.703125), (356.0390625, 34.2265625), (131.61770159752933, 220.61770159752928), (335.6171875, 247.90625)]"
"[(216.25, 481.5625), (216.25, 161.5625), (131.25, 177.5625), (298.25, 433.5625), (249.296875, 27.734375), (201.078125, 597.5625), (182.546875, 318.5625)]",[],"[(376.25, 321.5625), (216.25, 481.5625), (56.25, 321.5625), (216.25, 161.5625), (131.25, 177.5625), (298.25, 433.5625), (249.296875, 27.734375), (201.078125, 597.5625), (182.546875, 318.5625)]"
"[(216.25, 481.5625), (216.25, 161.5625), (131.25, 177.5625), (298.25, 433.5625), (249.296875, 27.734375), (201.078125, 597.5625), (182.546875, 318.5625)]",[],"[(376.25, 321.5625), (216.25, 481.5625), (56.25, 321.5625), (216.25, 161.5625), (131.25, 177.5625), (298.25, 433.5625), (249.296875, 27.734375), (201.078125, 597.5625), (182.546875, 318.5625)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(263.71246650165943, 159.0), (23.712466501659435, 297.5640646055102), (23.712466501659378, 20.43593539448983), (94.33016809918871, 368.05363699201916), (214.42340400165943, 69.328125)]","[(263.71246650165943, 159.0), (23.712466501659378, 20.43593539448983)]","[(263.71246650165943, 159.0), (23.712466501659435, 297.5640646055102), (23.712466501659378, 20.43593539448983), (94.33016809918871, 368.05363699201916), (214.42340400165943, 69.328125)]"
"[(263.71246650165943, 159.0), (23.712466501659435, 297.5640646055102), (23.712466501659378, 20.43593539448983), (94.33016809918871, 368.05363699201916), (214.42340400165943, 69.328125)]","[(263.71246650165943, 159.0), (23.712466501659378, 20.43593539448983)]","[(263.71246650165943, 159.0), (23.712466501659435, 297.5640646055102), (23.712466501659378, 20.43593539448983), (94.33016809918871, 368.05363699201916), (214.42340400165943, 69.328125)]"
"[(302.259503169969, 159.0), (62.25950316996892, 20.43593539448983), (132.87720476749826, 368.05363699201916), (114.13450316996898, 160.578125)]","[(302.259503169969, 159.0)]","[(302.259503169969, 159.0), (62.25950316996898, 297.5640646055102), (62.25950316996892, 20.43593539448983), (132.87720476749826, 368.05363699201916), (252.97044066996898, 69.328125), (43.234536668309545, 188.4375), (114.13450316996898, 160.578125)]"
"[(302.259503169969, 159.0), (62.25950316996892, 20.43593539448983), (132.87720476749826, 368.05363699201916), (114.13450316996898, 160.578125)]","[(302.259503169969, 159.0)]","[(302.259503169969, 159.0), (62.25950316996898, 297.5640646055102), (62.25950316996892, 20.43593539448983), (132.87720476749826, 368.05363699201916), (252.97044066996898, 69.328125), (43.234536668309545, 188.4375), (114.13450316996898, 160.578125)]"
"[(132.87720476749826, 457.59660574201916), (238.4375, 290.48046875), (419.900128169969, 102.25390625)]",[],"[(302.259503169969, 248.54296875), (62.25950316996898, 387.1070333555102), (62.25950316996892, 109.97890414448983), (132.87720476749826, 457.59660574201916), (252.97044066996898, 158.87109375), (43.234536668309545, 277.98046875), (114.13450316996898, 250.12109375), (238.4375, 290.48046875), (419.900128169969, 102.25390625)]"
"[(132.87720476749826, 457.59660574201916), (238.4375, 290.48046875), (419.900128169969, 102.25390625)]",[],"[(302.259503169969, 248.54296875), (62.25950316996898, 387.1070333555102), (62.25950316996892, 109.97890414448983), (132.87720476749826, 457.59660574201916), (252.97044066996898, 158.87109375), (43.234536668309545, 277.98046875), (114.13450316996898, 250.12109375), (238.4375, 290.48046875), (419.900128169969, 102.25390625)]"
"[(419.931378169969, 453.41796875)]",[],"[(302.259503169969, 248.54296875), (62.25950316996898, 387.1070333555102), (62.25950316996892, 109.97890414448983), (132.87720476749826, 457.59660574201916), (252.97044066996898, 158.87109375), (43.234536668309545, 277.98046875), (114.13450316996898, 250.12109375), (238.4375, 290.48046875), (419.900128169969, 102.25390625), (435.46875, 328.4375), (419.931378169969, 453.41796875)]"
"[(419.931378169969, 453.41796875)]",[],"[(302.259503169969, 248.54296875), (62.25950316996898, 387.1070333555102), (62.25950316996892, 109.97890414448983), (132.87720476749826, 457.59660574201916), (252.97044066996898, 158.87109375), (43.234536668309545, 277.98046875), (114.13450316996898, 250.12109375), (238.4375, 290.48046875), (419.900128169969, 102.25390625), (435.46875, 328.4375), (419.931378169969, 453.41796875)]"
"[(419.931378169969, 453.41796875)]",[],"[(302.259503169969, 248.54296875), (62.25950316996898, 387.1070333555102), (62.25950316996892, 109.97890414448983), (132.87720476749826, 457.59660574201916), (252.97044066996898, 158.87109375), (43.234536668309545, 277.98046875), (114.13450316996898, 250.12109375), (238.4375, 290.48046875), (419.900128169969, 102.25390625), (435.46875, 328.4375), (419.931378169969, 453.41796875)]"
"[(419.931378169969, 453.41796875)]",[],"[(302.259503169969, 248.54296875), (62.25950316996898, 387.1070333555102), (62.25950316996892, 109.97890414448983), (132.87720476749826, 457.59660574201916), (252.97044066996898, 158.87109375), (43.234536668309545, 277.98046875), (114.13450316996898, 250.12109375), (238.4375, 290.48046875), (419.900128169969, 102.25390625), (435.46875, 328.4375), (419.931378169969, 453.41796875)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(315.42968750000006, 216.968674151443), (75.42968750000006, 355.5327387569532), (183.47656250000006, 271.4514845459329), (201.98071325816392, 99.53811461096308)]","[(315.42968750000006, 216.968674151443), (75.42968750000006, 355.5327387569532)]","[(315.42968750000006, 216.968674151443), (75.42968750000006, 355.5327387569532), (75.4296875, 78.40460954593283), (183.47656250000006, 271.4514845459329), (201.98071325816392, 99.53811461096308)]"
"[(315.42968750000006, 216.968674151443), (75.42968750000006, 355.5327387569532), (183.47656250000006, 271.4514845459329), (201.98071325816392, 99.53811461096308)]","[(315.42968750000006, 216.968674151443), (75.42968750000006, 355.5327387569532)]","[(315.42968750000006, 216.968674151443), (75.42968750000006, 355.5327387569532), (75.4296875, 78.40460954593283), (183.47656250000006, 271.4514845459329), (201.98071325816392, 99.53811461096308)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(263.71246650165943, 158.56406460551017), (23.712466501659435, 297.1281292110204), (23.712466501659378, 20.0), (310.99371650165943, 257.45468960551017)]","[(263.71246650165943, 158.56406460551017), (23.712466501659378, 20.0)]","[(263.71246650165943, 158.56406460551017), (23.712466501659435, 297.1281292110204), (23.712466501659378, 20.0), (94.33016809918871, 367.61770159752933), (310.99371650165943, 257.45468960551017)]"
"[(263.71246650165943, 158.56406460551017), (23.712466501659435, 297.1281292110204), (23.712466501659378, 20.0), (310.99371650165943, 257.45468960551017)]","[(263.71246650165943, 158.56406460551017), (23.712466501659378, 20.0)]","[(263.71246650165943, 158.56406460551017), (23.712466501659435, 297.1281292110204), (23.712466501659378, 20.0), (94.33016809918871, 367.61770159752933), (310.99371650165943, 257.45468960551017)]"
"[(107.42655705367179, 301.6296018789728), (107.42655705367173, 24.501472667952385), (394.7078070536718, 261.95616227346255), (276.096388954483, 233.11917426548172), (87.96145787263265, 121.4029185488418)]",[],"[(347.4265570536718, 163.06553727346255), (107.42655705367179, 301.6296018789728), (107.42655705367173, 24.501472667952385), (178.04425865120106, 372.1191742654817), (394.7078070536718, 261.95616227346255), (276.096388954483, 233.11917426548172), (87.96145787263265, 121.4029185488418)]"
"[(107.42655705367179, 301.6296018789728), (107.42655705367173, 24.501472667952385), (394.7078070536718, 261.95616227346255), (276.096388954483, 233.11917426548172), (87.96145787263265, 121.4029185488418)]",[],"[(347.4265570536718, 163.06553727346255), (107.42655705367179, 301.6296018789728), (107.42655705367173, 24.501472667952385), (178.04425865120106, 372.1191742654817), (394.7078070536718, 261.95616227346255), (276.096388954483, 233.11917426548172), (87.96145787263265, 121.4029185488418)]"
"[(298.33682408831123, 285.9805023904817), (373.8029351338282, 74.814453125), (24.8623046875, 289.21592789846255)]",[],"[(369.6669921875, 215.92686539846255), (129.6669921875, 354.4909300039728), (129.66699218749994, 77.36280079295238), (200.28469378502928, 424.9805023904817), (416.9482421875, 314.81749039846255), (298.33682408831123, 285.9805023904817), (110.20189300646086, 174.2642466738418), (373.8029351338282, 74.814453125), (24.8623046875, 289.21592789846255)]"
"[(298.33682408831123, 285.9805023904817), (373.8029351338282, 74.814453125), (24.8623046875, 289.21592789846255)]",[],"[(369.6669921875, 215.92686539846255), (129.6669921875, 354.4909300039728), (129.66699218749994, 77.36280079295238), (200.28469378502928, 424.9805023904817), (416.9482421875, 314.81749039846255), (298.33682408831123, 285.9805023904817), (110.20189300646086, 174.2642466738418), (373.8029351338282, 74.814453125), (24.8623046875, 289.21592789846255)]"
"[(126.4794921875, 248.50499039846255)]",[],"[(369.6669921875, 215.92686539846255), (129.6669921875, 354.4909300039728), (129.66699218749994, 77.36280079295238), (200.28469378502928, 424.9805023904817), (416.9482421875, 314.81749039846255), (298.33682408831123, 285.9805023904817), (110.20189300646086, 174.2642466738418), (373.8029351338282, 74.814453125), (24.8623046875, 289.21592789846255), (225.78125, 198.4375), (126.4794921875, 248.50499039846255)]"
"[(126.4794921875, 248.50499039846255)]",[],"[(369.6669921875, 215.92686539846255), (129.6669921875, 354.4909300039728), (129.66699218749994, 77.36280079295238), (200.28469378502928, 424.9805023904817), (416.9482421875, 314.81749039846255), (298.33682408831123, 285.9805023904817), (110.20189300646086, 174.2642466738418), (373.8029351338282, 74.814453125), (24.8623046875, 289.21592789846255), (225.78125, 198.4375), (126.4794921875, 248.50499039846255)]"
"[(126.4794921875, 248.50499039846255)]",[],"[(369.6669921875, 215.92686539846255), (129.6669921875, 354.4909300039728), (129.66699218749994, 77.36280079295238), (200.28469378502928, 424.9805023904817), (416.9482421875, 314.81749039846255), (298.33682408831123, 285.9805023904817), (110.20189300646086, 174.2642466738418), (373.8029351338282, 74.814453125), (24.8623046875, 289.21592789846255), (225.78125, 198.4375), (126.4794921875, 248.50499039846255)]"
"[(126.4794921875, 248.50499039846255)]",[],"[(369.6669921875, 215.92686539846255), (129.6669921875, 354.4909300039728), (129.66699218749994, 77.36280079295238), (200.28469378502928, 424.9805023904817), (416.9482421875, 314.81749039846255), (298.33682408831123, 285.9805023904817), (110.20189300646086, 174.2642466738418), (373.8029351338282, 74.814453125), (24.8623046875, 289.21592789846255), (225.78125, 198.4375), (126.4794921875, 248.50499039846255)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(394.0, 200.0), (22.90625, 61.5390625), (124.0546875, 90.15625), (120.6875, 497.25)]","[(394.0, 200.0)]","[(394.0, 200.0), (234.0, 360.0), (74.0, 200.0), (234.0, 40.0), (22.90625, 61.5390625), (205.09375, 134.421875), (487.25, 224.953125), (441.2578125, 441.1875), (124.0546875, 90.15625), (120.6875, 497.25)]"
"[(394.0, 200.0), (22.90625, 61.5390625), (124.0546875, 90.15625), (120.6875, 497.25)]","[(394.0, 200.0)]","[(394.0, 200.0), (234.0, 360.0), (74.0, 200.0), (234.0, 40.0), (22.90625, 61.5390625), (205.09375, 134.421875), (487.25, 224.953125), (441.2578125, 441.1875), (124.0546875, 90.15625), (120.6875, 497.25)]"
"[(260.00000000000006, 167.16765123848398), (20.000000000000057, 305.7317158439942), (20.0, 28.603586632973816), (116.02725949983261, 46.405965969470515)]","[(260.00000000000006, 167.16765123848398), (20.000000000000057, 305.7317158439942)]","[(260.00000000000006, 167.16765123848398), (20.000000000000057, 305.7317158439942), (20.0, 28.603586632973816), (116.02725949983261, 46.405965969470515)]"
"[(260.00000000000006, 167.16765123848398), (20.000000000000057, 305.7317158439942), (20.0, 28.603586632973816), (116.02725949983261, 46.405965969470515)]","[(260.00000000000006, 167.16765123848398), (20.000000000000057, 305.7317158439942)]","[(260.00000000000006, 167.16765123848398), (20.000000000000057, 305.7317158439942), (20.0, 28.603586632973816), (116.02725949983261, 46.405965969470515)]"
"[(112.55728090000844, 310.0456403667957), (273.0, 490.0), (270.0625, 293.328125), (466.8828125, 179.09375), (258.03125, 119.078125)]",[],"[(402.0, 216.0), (291.4427190999916, 368.1690426072246), (112.55728090000844, 310.0456403667957), (112.55728090000844, 121.95435963320432), (291.4427190999916, 63.830957392775446), (35.75, 76.34375), (168.8828125, 213.5390625), (273.0, 490.0), (270.0625, 293.328125), (418.0, 103.0), (466.8828125, 179.09375), (307.0, 190.0), (71.0625, 95.046875), (198.125, 87.09375), (258.03125, 119.078125)]"
"[(112.55728090000844, 310.0456403667957), (273.0, 490.0), (270.0625, 293.328125), (466.8828125, 179.09375), (258.03125, 119.078125)]",[],"[(402.0, 216.0), (291.4427190999916, 368.1690426072246), (112.55728090000844, 310.0456403667957), (112.55728090000844, 121.95435963320432), (291.4427190999916, 63.830957392775446), (35.75, 76.34375), (168.8828125, 213.5390625), (273.0, 490.0), (270.0625, 293.328125), (418.0, 103.0), (466.8828125, 179.09375), (307.0, 190.0), (71.0625, 95.046875), (198.125, 87.09375), (258.03125, 119.078125)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(394.0, 200.0), (22.90625, 61.5390625), (124.0546875, 90.15625), (120.6875, 497.25)]","[(394.0, 200.0)]","[(394.0, 200.0), (234.0, 360.0), (74.0, 200.0), (234.0, 40.0), (22.90625, 61.5390625), (205.09375, 134.421875), (487.25, 224.953125), (441.2578125, 441.1875), (124.0546875, 90.15625), (120.6875, 497.25)]"
"[(394.0, 200.0), (22.90625, 61.5390625), (124.0546875, 90.15625), (120.6875, 497.25)]","[(394.0, 200.0)]","[(394.0, 200.0), (234.0, 360.0), (74.0, 200.0), (234.0, 40.0), (22.90625, 61.5390625), (205.09375, 134.421875), (487.25, 224.953125), (441.2578125, 441.1875), (124.0546875, 90.15625), (120.6875, 497.25)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (234.71875000000006, 149.56406460551017)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (158.82812500000006, 169.0625), (234.71875000000006, 149.56406460551017)]"
"[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (234.71875000000006, 149.56406460551017)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (158.82812500000006, 169.0625), (234.71875000000006, 149.56406460551017)]"
"[(116.46484375000006, 367.1281292110204), (116.46484375, 90.0), (290.55859375000006, 219.56406460551017), (24.51171875, 198.4375), (487.46484375000006, 236.56406460551017)]",[],"[(356.46484375000006, 228.56406460551017), (116.46484375000006, 367.1281292110204), (116.46484375, 90.0), (214.66796875000006, 239.0625), (290.55859375000006, 219.56406460551017), (24.51171875, 198.4375), (487.46484375000006, 236.56406460551017)]"
"[(116.46484375000006, 367.1281292110204), (116.46484375, 90.0), (290.55859375000006, 219.56406460551017), (24.51171875, 198.4375), (487.46484375000006, 236.56406460551017)]",[],"[(356.46484375000006, 228.56406460551017), (116.46484375000006, 367.1281292110204), (116.46484375, 90.0), (214.66796875000006, 239.0625), (290.55859375000006, 219.56406460551017), (24.51171875, 198.4375), (487.46484375000006, 236.56406460551017)]"
"[(176.46484374999994, 90.0), (350.55859375, 219.56406460551017), (173.46484375, 407.14218960551017)]",[],"[(416.46484375, 228.56406460551017), (176.46484375, 367.1281292110204), (176.46484374999994, 90.0), (274.66796875, 239.0625), (350.55859375, 219.56406460551017), (84.51171874999994, 198.4375), (547.46484375, 236.56406460551017), (191.5625, 450.00000000000006), (173.46484375, 407.14218960551017)]"
"[(176.46484374999994, 90.0), (350.55859375, 219.56406460551017), (173.46484375, 407.14218960551017)]",[],"[(416.46484375, 228.56406460551017), (176.46484375, 367.1281292110204), (176.46484374999994, 90.0), (274.66796875, 239.0625), (350.55859375, 219.56406460551017), (84.51171874999994, 198.4375), (547.46484375, 236.56406460551017), (191.5625, 450.00000000000006), (173.46484375, 407.14218960551017)]"
"[(20.0, 20.0)]","[(20.0, 20.0)]","[(20.0, 20.0)]"
"[(20.0, 20.0)]","[(20.0, 20.0)]","[(20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]","[(260.00000000000006, 158.56406460551017), (20.000000000000057, 297.1281292110204), (20.0, 20.0)]"
"[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (255.20312500000006, 140.56406460551017)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (158.82812500000006, 169.0625), (255.20312500000006, 140.56406460551017)]"
"[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (255.20312500000006, 140.56406460551017)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0)]","[(300.62500000000006, 158.56406460551017), (60.62500000000006, 297.1281292110204), (60.625, 20.0), (158.82812500000006, 169.0625), (255.20312500000006, 140.56406460551017)]"
"[(105.94107385881006, 20.0), (300.5191988588101, 140.56406460551017), (34.698372261280724, 367.61770159752933), (460.9410738588101, 162.56406460551017)]","[(105.94107385881006, 20.0)]","[(345.9410738588101, 158.56406460551017), (105.94107385881011, 297.1281292110204), (105.94107385881006, 20.0), (204.1441988588101, 169.0625), (300.5191988588101, 140.56406460551017), (34.698372261280724, 367.61770159752933), (460.9410738588101, 162.56406460551017)]"
"[(105.94107385881006, 20.0), (300.5191988588101, 140.56406460551017), (34.698372261280724, 367.61770159752933), (460.9410738588101, 162.56406460551017)]","[(105.94107385881006, 20.0)]","[(345.9410738588101, 158.56406460551017), (105.94107385881011, 297.1281292110204), (105.94107385881006, 20.0), (204.1441988588101, 169.0625), (300.5191988588101, 140.56406460551017), (34.698372261280724, 367.61770159752933), (460.9410738588101, 162.56406460551017)]"
