Deg <3 Points,Deg 1 Points,All Points
"[(494.0277099898476, 491.8382568648476), (267.7535400101524, 265.5640868851524), (380.89062499999994, 218.701171875), (389.890625, 50.576171875), (164.984375, 276.732421875), (265.0390625, 439.529296875), (486.375, 328.248046875), (542.40625, 341.248046875), (413.53125, 609.185546875)]",[],"[(540.890625, 378.701171875), (494.0277099898476, 491.8382568648476), (380.890625, 538.701171875), (267.7535400101524, 491.8382568648476), (220.890625, 378.701171875), (267.7535400101524, 265.5640868851524), (380.89062499999994, 218.701171875), (494.0277099898476, 265.5640868851524), (381.0234375, 438.068359375), (557.015625, 296.919921875), (389.890625, 50.576171875), (159.1539066568248, 347.92838367375055), (164.984375, 276.732421875), (265.0390625, 439.529296875), (330.8671875, 582.654296875), (447.4375, 480.216796875), (438.859375, 390.341796875), (516.921875, 299.216796875), (488.078125, 383.583984375), (486.375, 328.248046875), (542.40625, 341.248046875), (487.296875, 593.271484375), (413.53125, 609.185546875)]"

"[(171.1640625, 161.1484375), (105.0, 293.0625), (261.546875, 451.453125), (414.7890625, 334.9453125), (290.9375, 163.5546875)]",[],"[(407.0, 261.0), (360.1370849898476, 374.1370849898476), (247.0, 421.0), (133.8629150101524, 374.1370849898476), (87.0, 261.0), (133.8629150101524, 147.8629150101524), (246.99999999999994, 101.0), (360.1370849898476, 147.8629150101524), (235.0, 308.15625), (489.6640625, 126.0078125), (328.984375, 317.375), (175.0625, 235.125), (196.640625, 76.96875), (188.8671875, 183.078125), (171.1640625, 161.1484375), (57.0625, 338.609375), (169.1328125, 315.9765625), (103.390625, 331.515625), (105.0, 293.0625), (293.953125, 415.8828125), (219.59375, 462.875), (261.546875, 451.453125), (378.40625, 202.09375), (298.9375, 262.1875), (414.7890625, 334.9453125), (376.109375, 115.9140625), (290.9375, 163.5546875)]"

"[(206.330078125, 161.1484375), (140.166015625, 293.0625), (326.103515625, 163.5546875), (131.759765625, 233.609375)]",[],"[(442.166015625, 261.0), (395.3031006148476, 374.1370849898476), (282.166015625, 421.0), (169.0289306351524, 374.1370849898476), (122.166015625, 261.0), (169.0289306351524, 147.8629150101524), (282.16601562499994, 101.0), (395.3031006148476, 147.8629150101524), (270.166015625, 308.15625), (524.830078125, 126.0078125), (364.150390625, 317.375), (210.228515625, 235.125), (231.806640625, 76.96875), (224.033203125, 183.078125), (206.330078125, 161.1484375), (92.228515625, 338.609375), (204.298828125, 315.9765625), (138.556640625, 331.515625), (140.166015625, 293.0625), (329.119140625, 415.8828125), (254.759765625, 462.875), (296.712890625, 451.453125), (413.572265625, 202.09375), (334.103515625, 262.1875), (449.955078125, 334.9453125), (411.275390625, 115.9140625), (326.103515625, 163.5546875), (131.759765625, 233.609375)]"

"[(340.70130899198864, 172.30646155066046), (220.70130899198867, 292.30646155066046), (100.70130899198867, 172.30646155066046), (220.70130899198867, 52.30646155066046), (120.70130899198867, 213.30646155066046)]","[(340.70130899198864, 172.30646155066046), (220.70130899198867, 292.30646155066046), (100.70130899198867, 172.30646155066046)]","[(340.70130899198864, 172.30646155066046), (220.70130899198867, 292.30646155066046), (100.70130899198867, 172.30646155066046), (220.70130899198867, 52.30646155066046), (120.70130899198867, 213.30646155066046)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(330.3374364135043, 170.24939697564338), (210.33743641350426, 290.2493969756434), (90.33743641350426, 170.24939697564338), (210.33743641350426, 50.24939697564338), (217.33743641350426, 326.2493969756434)]","[(330.3374364135043, 170.24939697564338), (210.33743641350426, 290.2493969756434), (90.33743641350426, 170.24939697564338)]","[(330.3374364135043, 170.24939697564338), (210.33743641350426, 290.2493969756434), (90.33743641350426, 170.24939697564338), (210.33743641350426, 50.24939697564338), (217.33743641350426, 326.2493969756434)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]","[(340.0, 220.0), (220.0, 340.0), (100.0, 220.0), (220.0, 100.0)]"
"[(344.60376134722975, 172.31113987333546), (224.60376134722975, 292.3111398733355), (104.60376134722975, 172.31113987333546), (224.60376134722975, 52.31113987333546), (249.60376134722975, 239.31113987333546)]","[(344.60376134722975, 172.31113987333546), (224.60376134722975, 292.3111398733355), (104.60376134722975, 172.31113987333546)]","[(344.60376134722975, 172.31113987333546), (224.60376134722975, 292.3111398733355), (104.60376134722975, 172.31113987333546), (224.60376134722975, 52.31113987333546), (249.60376134722975, 239.31113987333546)]"
