0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3.0,3.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
560.0,499.7583682973974,364.3966505669897,255.84498113561295,255.84498113561293,364.39665056698965,499.75836829739734,332.96875,427.0078125,628.125,497.6875,256.9375,413.875,478.9296875,587.578125,550.609375,163.625,395.76163531379535,511.09375,526.484375
400.0,525.0930371948848,555.9884659490917,469.4213982588093,330.5786017411907,244.0115340509082,274.9069628051152,326.15625,298.71875,405.703125,202.328125,233.125,440.609375,469.1796875,404.0,462.03125,313.890625,697.9077734823168,469.515625,493.0625
