0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448
560.0,560.3937183919576,560.0498781521859,559.0872539015868,557.6246202610624,555.780751851515,553.6744232938462,551.4244092089583,549.1494842177532,546.9684229411332,545.0,543.2335636033314,541.3737476566572,539.4361058576183,537.4361919038561,535.3895594930117,533.3117623227264,531.2183540906415,529.1248884943977,527.046919231637,525.0,522.945255135577,520.9170304618206,518.9016096459329,516.8852763551158,514.8543142565709,512.7950070175004,510.6936383051062,508.53649178659026,506.3098511291541,504.0,501.62880671148986,499.20732762432726,496.73535268704944,494.2126718481937,491.639075056297,489.01435225989667,486.33829340752936,483.61068844773285,480.831327329044,478.0,474.8612679517622,471.6450117590939,468.3585306468427,465.0091238398573,461.6040905629849,458.15073004107376,454.65634149897164,451.12822416152693,447.573677253587,444.0,440.269322784932,436.4921101019929,432.6717025195567,428.8114406059974,424.914664929689,420.98471605900556,417.02493456232094,413.03866100800906,409.02923596444407,405.0,400.6774885121073,396.2311867876463,391.7010587893212,387.1270684798361,382.54917982189534,378.0073567782029,373.54156331146294,369.1917633843797,364.99792095965734,361.0,357.77486237293044,354.622356863114,351.5423412288366,348.5346732283841,345.59921062004236,342.7358111620973,339.9443326128346,337.2246327305403,334.5765692735001,332.0,329.60335072327723,327.26989958695697,325.0006680614483,322.79667761716075,320.6589497245036,318.588505853886,316.58636747571757,314.6535560604075,312.79109307836524,311.0,309.25962989334397,307.5312664148854,305.8387712546051,304.20600610248334,302.65683264850105,301.21511258263865,299.90470759487664,298.74947937519585,297.77328961357676,297.0,296.58530580402316,296.27604999561225,296.0589176957613,295.92059402546465,295.84776410571646,295.82711305751087,295.84532600184224,295.8890880597048,295.9450843520927,296.0,296.0809165706243,296.20054321496156,296.3626206078171,296.5708894239969,296.82909033830646,297.14096402555157,297.5102511605378,297.94069241807074,298.4360284729563,299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400.0,397.8694671767288,395.27198094967633,392.3018599138666,389.0534226643234,385.6209877960707,382.09887390413235,378.5813995835323,375.1628834292942,371.93764403644224,369.0,366.46004420432104,364.0248802535374,361.6752075221201,359.3917253845397,357.15513321526714,354.9461303887733,352.74541627952885,350.53369026200454,348.29165171067143,346.0,343.5926866404052,341.1356745034255,338.64821007721326,336.14953984992053,333.6589103096996,331.1955679447027,328.77875924308205,326.42773069299,324.1617287825785,322.0,319.943613209835,317.9593337217996,316.0414868634425,314.18439796231195,312.3823923459564,310.6297953419245,308.92093227776434,307.25012848102455,305.6117092792537,304.0,302.27770274871153,300.58519852488644,298.92983971416663,297.3189787021942,295.75996787461094,294.2601596170588,292.8269063151797,291.46756035461567,290.1894741210084,289.0,287.84653089037295,286.755641558783,285.73332034760165,284.7855555992007,283.91833565595186,283.13764886022693,282.4494835543975,281.8598280808354,281.37467078191224,281.0,280.7131961617548,280.52335311676114,280.43467755407,280.4513761627325,280.5776556317999,280.81772265032333,281.1757839073539,281.65604609194276,282.26271589314103,283.0,283.7146014454854,284.5102109221177,285.3885669644264,286.3514081069409,287.4004728841906,288.5374998307052,289.7642274810139,291.0823943696463,292.49373903113184,294.0,295.5403637738555,297.18497698101885,298.92471576951164,300.7504562873556,302.653074682572,304.6234471031828,306.65244969720936,308.73095861267325,310.8498499975964,313.0,315.213834306187,317.55052095676257,319.9795041303989,322.47022800576786,324.9921367615416,327.5146745763919,330.0072856289908,332.4394140980106,334.78050416212295,337.0,338.488983983628,339.9131240874321,341.2893214343774,342.63447714742887,343.96549234955125,345.29926816370954,346.6527057128686,348.0427061199935,349.48617050804904,351.0,352.97556500080884,354.99343367769103,357.0564450687185,359.1674382119628,361.32925214549584,363.5447259073891,365.81669853571447,368.14800906854356,370.54149654394814,373.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299.0,299.89942268926086,300.93491223467043,302.0971583410678,303.37685071329236,304.764679056183,306.25133307457907,307.82750247331956,309.48387695724387,311.2111462311909,313.0,314.6197324995575,316.30991887432117,318.06749454612554,319.88939493680533,321.77255546819487,323.7139115621288,325.7103986404418,327.75895212496823,329.85650743754275,332.0,333.9097343640498,335.8492326441091,337.82318884133684,339.83629695689183,341.89325099193326,343.99874494762,346.15747282511114,348.37412862556545,350.65340635014206,353.0,355.70551541043056,358.5114898367975,361.4047915305888,364.3722887432924,367.4008497263963,370.4773427313885,373.588636009757,376.72159781298967,379.8630963925747,383.0,386.3930482505698,389.8584891515867,393.3780881049189,396.9336105124345,400.50682177600186,404.079487297489,407.6333724787643,411.1502427216957,414.61186342815154,418.0,421.1231599325112,424.22042080027927,427.2912314248738,430.3350406278638,433.3512972308191,436.3394500553087,439.2989479229024,442.2292396551692,445.12977407367856,448.0,450.7121130274824,453.3858496350894,456.0262582279838,458.63838721132896,461.2272849902879,463.79799997002385,466.3555805556998,468.9050751524791,471.4515321655248,474.0,476.56129320409036,479.13992828947175,481.7242942836526,484.3027802141412,486.8637751084458,489.3956679940747,491.8868478985363,494.32570384933877,496.7006248739906,499.0,500.8432936204449,502.6448780266431,504.40845303889967,506.1377184775206,507.836374162811,509.50811991507663,511.15665555462283,512.7856809017551,514.3988957767791,516.0,517.3721759417025,518.7331021043316,520.0809824932314,521.4140211137459,522.7304219712189,524.0283890709943,525.3061264184163,526.5618380188287,527.7937278775752,529.0,529.9395600977725,530.827079307254,531.6787762867393,532.5108696945229,533.3395781889001,534.1811204281652,535.0517150706129,535.9675807745382,536.9449361982356,538.0,539.9459899025877,542.2729613878862,544.859213870497,547.583046765021,550.3227594860593,552.9566514482127,555.3630220660823,557.4201707542695,559.006396927375,560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373.0,376.5975456793768,380.4606506895917,384.52326814163234,388.71935114648636,392.9828528151414,397.2477262585851,401.4479245878051,405.5174009137893,409.390108347525,413.0,415.9880647961424,418.918968941867,421.7818089480686,424.5656813256423,427.2596825854825,429.852909238484,432.3344577955419,434.69342476755065,436.918906665405,439.0,440.7018843762217,442.2990962062192,443.7973973301414,445.20254958813706,446.52031482035545,447.7564548669453,448.91673156805587,450.00690676383573,451.0327422944341,452.0,452.99552432541276,453.89258703607385,454.6951508770642,455.4071785934644,456.0326329303555,456.57547663281804,457.039672445933,457.42918311478104,457.7479713844432,458.0,458.1781272388048,458.24770361940784,458.2179251104012,458.09798768037655,457.8970872979261,457.62441993164146,457.2891815501146,456.90056812193745,456.46777561570195,456.0,455.5215127519505,454.9908325652386,454.40907239586693,453.77734519983767,453.09676393315374,452.3684415518175,451.5934910118315,450.7730252691983,449.9081572799202,449.0,448.07936666784633,447.1013388305639,446.0724922052554,444.9994025090237,443.8886454589715,442.7467967722017,441.5804321658169,440.3961273569197,439.2004580626133,438.0,436.7709976551276,435.4916826455132,434.1750057491745,432.83391774412917,431.4813694083947,430.13031151998865,428.79369485692854,427.484470197232,426.2155883189167,425.0,424.0263215380711,423.0640475763194,422.1150412990054,421.1811658903905,420.2642845347357,419.366260416302,418.48895671935054,417.6342366281424,416.8039633269385,416.0,415.3223084007026,414.65454542289007,413.99946213344697,413.35980959925814,412.73833888720793,412.13780106418113,411.5609471970623,411.0105283527361,410.4892955980871,410.0,409.63675131563633,409.31037939232147,409.01232616835915,408.73403358205303,408.46694357170685,408.202498075624,407.9321390321082,407.6473083794633,407.3394480559927,407.0,406.4889907900273,406.04576435305273,405.6291529166999,405.1979887085921,404.71110395635264,404.127330887605,403.40550172997257,402.5044487110786,401.3830040585467,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299.0,299.0029296875,299.0087890625,299.017578125,299.029296875,299.0439453125,299.0615234375,299.08203125,299.10546875,299.1318359375,299.1611328125,299.193359375,299.228515625,299.2666015625,299.3076171875,299.3515625,299.3984375,299.4482421875,299.5009765625,299.556640625,299.615234375,299.6767578125,299.7412109375,299.80859375,299.87890625,299.9521484375,300.0283203125,300.107421875,300.189453125,300.2744140625,300.3623046875,300.453125,300.546875,300.6513671875,300.7666015625,300.892578125,301.029296875,301.1767578125,301.3349609375,301.50390625,301.68359375,301.8740234375,302.0751953125,302.287109375,302.509765625,302.7431640625,302.9873046875,303.2421875,303.5078125,303.7841796875,304.0712890625,304.369140625,304.677734375,304.9970703125,305.3271484375,305.66796875,306.01953125,306.3818359375,306.7548828125,307.138671875,307.533203125,307.9384765625,308.3544921875,308.78125,309.21875,309.6513671875,310.0791015625,310.501953125,310.919921875,311.3330078125,311.7412109375,312.14453125,312.54296875,312.9365234375,313.3251953125,313.708984375,314.087890625,314.4619140625,314.8310546875,315.1953125,315.5546875,315.9091796875,316.2587890625,316.603515625,316.943359375,317.2783203125,317.6083984375,317.93359375,318.25390625,318.5693359375,318.8798828125,319.185546875,319.486328125,319.7822265625,320.0732421875,320.359375,320.640625,320.921875,321.203125,321.484375,321.765625,322.046875,322.328125,322.609375,322.890625,323.171875,323.453125,323.734375,324.015625,324.296875,324.578125,324.859375,325.140625,325.421875,325.703125,325.984375,326.265625,326.546875,326.828125,327.109375,327.390625,327.671875,327.953125,328.234375,328.515625,328.796875,329.078125,329.359375,329.640625,329.9228515625,330.2060546875,330.490234375,330.775390625,331.0615234375,331.3486328125,331.63671875,331.92578125,332.2158203125,332.5068359375,332.798828125,333.091796875,333.3857421875,333.6806640625,333.9765625,334.2734375,334.5712890625,334.8701171875,335.169921875,335.470703125,335.7724609375,336.0751953125,336.37890625,336.68359375,336.9892578125,337.2958984375,337.603515625,337.912109375,338.2216796875,338.5322265625,338.84375,339.15625,339.4677734375,339.7783203125,340.087890625,340.396484375,340.7041015625,341.0107421875,341.31640625,341.62109375,341.9248046875,342.2275390625,342.529296875,342.830078125,343.1298828125,343.4287109375,343.7265625,344.0234375,344.3193359375,344.6142578125,344.908203125,345.201171875,345.4931640625,345.7841796875,346.07421875,346.36328125,346.6513671875,346.9384765625,347.224609375,347.509765625,347.7939453125,348.0771484375,348.359375,348.640625,348.923828125,349.208984375,349.49609375,349.78515625,350.076171875,350.369140625,350.6640625,350.9609375,351.259765625,351.560546875,351.86328125,352.16796875,352.474609375,352.783203125,353.09375,353.40625,353.720703125,354.037109375,354.35546875,354.67578125,354.998046875,355.322265625,355.6484375,355.9765625,356.306640625,356.638671875,356.97265625,357.30859375,357.646484375,357.986328125,358.328125,358.671875,359.0166015625,359.3623046875,359.708984375,360.056640625,360.4052734375,360.7548828125,361.10546875,361.45703125,361.8095703125,362.1630859375,362.517578125,362.873046875,363.2294921875,363.5869140625,363.9453125,364.3046875,364.6650390625,365.0263671875,365.388671875,365.751953125,366.1162109375,366.4814453125,366.84765625,367.21484375,367.5830078125,367.9521484375,368.322265625,368.693359375,369.0654296875,369.4384765625,369.8125,370.1875,370.564453125,370.943359375,371.32421875,371.70703125,372.091796875,372.478515625,372.8671875,373.2578125,373.650390625,374.044921875,374.44140625,374.83984375,375.240234375,375.642578125,376.046875,376.453125,376.861328125,377.271484375,377.68359375,378.09765625,378.513671875,378.931640625,379.3515625,379.7734375,380.197265625,380.623046875,381.05078125,381.48046875,381.912109375,382.345703125,382.78125,383.21875,383.6572265625,384.0966796875,384.537109375,384.978515625,385.4208984375,385.8642578125,386.30859375,386.75390625,387.2001953125,387.6474609375,388.095703125,388.544921875,388.9951171875,389.4462890625,389.8984375,390.3515625,390.8056640625,391.2607421875,391.716796875,392.173828125,392.6318359375,393.0908203125,393.55078125,394.01171875,394.4736328125,394.9365234375,395.400390625,395.865234375,396.3310546875,396.7978515625,397.265625,397.734375,398.2021484375,398.6689453125,399.134765625,399.599609375,400.0634765625,400.5263671875,400.98828125,401.44921875,401.9091796875,402.3681640625,402.826171875,403.283203125,403.7392578125,404.1943359375,404.6484375,405.1015625,405.5537109375,406.0048828125,406.455078125,406.904296875,407.3525390625,407.7998046875,408.24609375,408.69140625,409.1357421875,409.5791015625,410.021484375,410.462890625,410.9033203125,411.3427734375,411.78125,412.21875,412.65625,413.09375,413.53125,413.96875,414.40625,414.84375,415.28125,415.71875,416.15625,416.59375,417.03125,417.46875,417.90625,418.34375,418.78125,419.21875,419.65625,420.09375,420.53125,420.96875,421.40625,421.84375,422.28125,422.71875,423.15625,423.59375,424.03125,424.46875,424.90625,425.34375,425.78125,426.21875,426.658203125,427.099609375,427.54296875,427.98828125,428.435546875,428.884765625,429.3359375,429.7890625,430.244140625,430.701171875,431.16015625,431.62109375,432.083984375,432.548828125,433.015625,433.484375,433.955078125,434.427734375,434.90234375,435.37890625,435.857421875,436.337890625,436.8203125,437.3046875,437.791015625,438.279296875,438.76953125,439.26171875,439.755859375,440.251953125,440.75,441.25,441.7490234375,442.2470703125,442.744140625,443.240234375,443.7353515625,444.2294921875,444.72265625,445.21484375,445.7060546875,446.1962890625,446.685546875,447.173828125,447.6611328125,448.1474609375,448.6328125,449.1171875,449.6005859375,450.0830078125,450.564453125,451.044921875,451.5244140625,452.0029296875,452.48046875,452.95703125,453.4326171875,453.9072265625,454.380859375,454.853515625,455.3251953125,455.7958984375,456.265625,456.734375
373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,373.0,372.998046875,372.994140625,372.98828125,372.98046875,372.970703125,372.958984375,372.9453125,372.9296875,372.912109375,372.892578125,372.87109375,372.84765625,372.822265625,372.794921875,372.765625,372.734375,372.701171875,372.666015625,372.62890625,372.58984375,372.548828125,372.505859375,372.4609375,372.4140625,372.365234375,372.314453125,372.26171875,372.20703125,372.150390625,372.091796875,372.03125,371.96875,371.90625,371.84375,371.78125,371.71875,371.65625,371.59375,371.53125,371.46875,371.40625,371.34375,371.28125,371.21875,371.15625,371.09375,371.03125,370.96875,370.90625,370.84375,370.78125,370.71875,370.65625,370.59375,370.53125,370.46875,370.40625,370.34375,370.28125,370.21875,370.15625,370.09375,370.03125,369.96875,369.9072265625,369.8466796875,369.787109375,369.728515625,369.6708984375,369.6142578125,369.55859375,369.50390625,369.4501953125,369.3974609375,369.345703125,369.294921875,369.2451171875,369.1962890625,369.1484375,369.1015625,369.0556640625,369.0107421875,368.966796875,368.923828125,368.8818359375,368.8408203125,368.80078125,368.76171875,368.7236328125,368.6865234375,368.650390625,368.615234375,368.5810546875,368.5478515625,368.515625,368.484375,368.4541015625,368.4248046875,368.396484375,368.369140625,368.3427734375,368.3173828125,368.29296875,368.26953125,368.2470703125,368.2255859375,368.205078125,368.185546875,368.1669921875,368.1494140625,368.1328125,368.1171875,368.1025390625,368.0888671875,368.076171875,368.064453125,368.0537109375,368.0439453125,368.03515625,368.02734375,368.0205078125,368.0146484375,368.009765625,368.005859375,368.0029296875,368.0009765625,368.0,368.0,367.998046875,367.994140625,367.98828125,367.98046875,367.970703125,367.958984375,367.9453125,367.9296875,367.912109375,367.892578125,367.87109375,367.84765625,367.822265625,367.794921875,367.765625,367.734375,367.701171875,367.666015625,367.62890625,367.58984375,367.548828125,367.505859375,367.4609375,367.4140625,367.365234375,367.314453125,367.26171875,367.20703125,367.150390625,367.091796875,367.03125,366.96875,366.908203125,366.849609375,366.79296875,366.73828125,366.685546875,366.634765625,366.5859375,366.5390625,366.494140625,366.451171875,366.41015625,366.37109375,366.333984375,366.298828125,366.265625,366.234375,366.205078125,366.177734375,366.15234375,366.12890625,366.107421875,366.087890625,366.0703125,366.0546875,366.041015625,366.029296875,366.01953125,366.01171875,366.005859375,366.001953125,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0,366.0009765625,366.0029296875,366.005859375,366.009765625,366.0146484375,366.0205078125,366.02734375,366.03515625,366.0439453125,366.0537109375,366.064453125,366.076171875,366.0888671875,366.1025390625,366.1171875,366.1328125,366.1494140625,366.1669921875,366.185546875,366.205078125,366.2255859375,366.2470703125,366.26953125,366.29296875,366.3173828125,366.3427734375,366.369140625,366.396484375,366.4248046875,366.4541015625,366.484375,366.515625,366.546875,366.578125,366.609375,366.640625,366.671875,366.703125,366.734375,366.765625,366.796875,366.828125,366.859375,366.890625,366.921875,366.953125,366.984375,367.015625,367.046875,367.078125,367.109375,367.140625,367.171875,367.203125,367.234375,367.265625,367.296875,367.328125,367.359375,367.390625,367.421875,367.453125,367.484375,367.515625,367.546875,367.578125,367.609375,367.640625,367.671875,367.703125,367.734375,367.765625,367.796875,367.828125,367.859375,367.890625,367.921875,367.953125,367.984375,368.015625,368.046875,368.078125,368.109375,368.140625,368.171875,368.203125,368.234375,368.265625,368.296875,368.328125,368.359375,368.390625,368.421875,368.453125,368.484375,368.515625
456.734375,457.2021484375,457.6689453125,458.134765625,458.599609375,459.0634765625,459.5263671875,459.98828125,460.44921875,460.9091796875,461.3681640625,461.826171875,462.283203125,462.7392578125,463.1943359375,463.6484375,464.1015625,464.5537109375,465.0048828125,465.455078125,465.904296875,466.3525390625,466.7998046875,467.24609375,467.69140625,468.1357421875,468.5791015625,469.021484375,469.462890625,469.9033203125,470.3427734375,470.78125,471.21875,471.654296875,472.087890625,472.51953125,472.94921875,473.376953125,473.802734375,474.2265625,474.6484375,475.068359375,475.486328125,475.90234375,476.31640625,476.728515625,477.138671875,477.546875,477.953125,478.357421875,478.759765625,479.16015625,479.55859375,479.955078125,480.349609375,480.7421875,481.1328125,481.521484375,481.908203125,482.29296875,482.67578125,483.056640625,483.435546875,483.8125,484.1875,484.55859375,484.92578125,485.2890625,485.6484375,486.00390625,486.35546875,486.703125,487.046875,487.38671875,487.72265625,488.0546875,488.3828125,488.70703125,489.02734375,489.34375,489.65625,489.96484375,490.26953125,490.5703125,490.8671875,491.16015625,491.44921875,491.734375,492.015625,492.29296875,492.56640625,492.8359375,493.1015625,493.36328125,493.62109375,493.875,494.125,494.3740234375,494.6220703125,494.869140625,495.115234375,495.3603515625,495.6044921875,495.84765625,496.08984375,496.3310546875,496.5712890625,496.810546875,497.048828125,497.2861328125,497.5224609375,497.7578125,497.9921875,498.2255859375,498.4580078125,498.689453125,498.919921875,499.1494140625,499.3779296875,499.60546875,499.83203125,500.0576171875,500.2822265625,500.505859375,500.728515625,500.9501953125,501.1708984375,501.390625,501.609375,501.8291015625,502.0498046875,502.271484375,502.494140625,502.7177734375,502.9423828125,503.16796875,503.39453125,503.6220703125,503.8505859375,504.080078125,504.310546875,504.5419921875,504.7744140625,505.0078125,505.2421875,505.4775390625,505.7138671875,505.951171875,506.189453125,506.4287109375,506.6689453125,506.91015625,507.15234375,507.3955078125,507.6396484375,507.884765625,508.130859375,508.3779296875,508.6259765625,508.875,509.125,509.3740234375,509.6220703125,509.869140625,510.115234375,510.3603515625,510.6044921875,510.84765625,511.08984375,511.3310546875,511.5712890625,511.810546875,512.048828125,512.2861328125,512.5224609375,512.7578125,512.9921875,513.2255859375,513.4580078125,513.689453125,513.919921875,514.1494140625,514.3779296875,514.60546875,514.83203125,515.0576171875,515.2822265625,515.505859375,515.728515625,515.9501953125,516.1708984375,516.390625,516.609375,516.8271484375,517.0439453125,517.259765625,517.474609375,517.6884765625,517.9013671875,518.11328125,518.32421875,518.5341796875,518.7431640625,518.951171875,519.158203125,519.3642578125,519.5693359375,519.7734375,519.9765625,520.1787109375,520.3798828125,520.580078125,520.779296875,520.9775390625,521.1748046875,521.37109375,521.56640625,521.7607421875,521.9541015625,522.146484375,522.337890625,522.5283203125,522.7177734375,522.90625,523.09375,523.28125,523.46875,523.65625,523.84375,524.03125,524.21875,524.40625,524.59375,524.78125,524.96875,525.15625,525.34375,525.53125,525.71875,525.90625,526.09375,526.28125,526.46875,526.65625,526.84375,527.03125,527.21875,527.40625,527.59375,527.78125,527.96875,528.15625,528.34375,528.53125,528.71875,528.90625,529.09375,529.279296875,529.462890625,529.64453125,529.82421875,530.001953125,530.177734375,530.3515625,530.5234375,530.693359375,530.861328125,531.02734375,531.19140625,531.353515625,531.513671875,531.671875,531.828125,531.982421875,532.134765625,532.28515625,532.43359375,532.580078125,532.724609375,532.8671875,533.0078125,533.146484375,533.283203125,533.41796875,533.55078125,533.681640625,533.810546875,533.9375,534.0625,534.1875,534.3125,534.4375,534.5625,534.6875,534.8125,534.9375,535.0625,535.1875,535.3125,535.4375,535.5625,535.6875,535.8125,535.9375,536.0625,536.1875,536.3125,536.4375,536.5625,536.6875,536.8125,536.9375,537.0625,537.1875,537.3125,537.4375,537.5625,537.6875,537.8125,537.9375,538.0625,538.1884765625,538.3154296875,538.443359375,538.572265625,538.7021484375,538.8330078125,538.96484375,539.09765625,539.2314453125,539.3662109375,539.501953125,539.638671875,539.7763671875,539.9150390625,540.0546875,540.1953125,540.3369140625,540.4794921875,540.623046875,540.767578125,540.9130859375,541.0595703125,541.20703125,541.35546875,541.5048828125,541.6552734375,541.806640625,541.958984375,542.1123046875,542.2666015625,542.421875,542.578125,542.734375,542.890625,543.046875,543.203125,543.359375,543.515625,543.671875,543.828125,543.984375,544.140625,544.296875,544.453125,544.609375,544.765625,544.921875,545.078125,545.234375,545.390625,545.546875,545.703125,545.859375,546.015625,546.171875,546.328125,546.484375,546.640625,546.796875,546.953125,547.109375,547.265625,547.421875,547.578125,547.7314453125,547.8818359375,548.029296875,548.173828125,548.3154296875,548.4541015625,548.58984375,548.72265625,548.8525390625,548.9794921875,549.103515625,549.224609375,549.3427734375,549.4580078125,549.5703125,549.6796875,549.7861328125,549.8896484375,549.990234375,550.087890625,550.1826171875,550.2744140625,550.36328125,550.44921875,550.5322265625,550.6123046875,550.689453125,550.763671875,550.8349609375,550.9033203125,550.96875,551.03125,551.099609375,551.173828125,551.25390625,551.33984375,551.431640625,551.529296875,551.6328125,551.7421875,551.857421875,551.978515625,552.10546875,552.23828125,552.376953125,552.521484375,552.671875,552.828125,552.990234375,553.158203125,553.33203125,553.51171875,553.697265625,553.888671875,554.0859375,554.2890625,554.498046875,554.712890625,554.93359375,555.16015625,555.392578125,555.630859375,555.875,560.0
