0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0
560.0,449.44271909999156,270.55728090000844,270.55728090000844,449.44271909999156,193.75,326.8828125,431.0,428.0625,576.0,624.8828125,465.0,229.0625,356.125,416.03125
400.0,552.1690426072246,494.04564036679574,305.9543596332043,247.83095739277542,260.34375,397.5390625,674.0,477.328125,287.0,363.09375,374.0,279.046875,271.09375,303.078125
