0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0
560.0,513.1370849898476,400.0,286.8629150101524,240.0,286.8629150101524,400.0,513.1370849898476,469.078125,547.78125,446.0625,478.90625,559.8855759286973,578.5546875,407.90625,404.03125,316.875,200.1171875,342.640625,291.9609375,246.84375,340.0625,187.0,490.5442176002566,375.984375,199.40625
400.0,513.1370849898476,560.0,513.1370849898476,400.0,286.8629150101524,240.0,286.8629150101524,255.03125,338.9609375,329.546875,300.546875,455.6564985592628,513.6640625,452.2109375,332.140625,232.515625,319.2578125,315.09375,352.921875,330.9140625,539.03125,493.0,609.3300928983709,645.640625,623.21875
