0,1,2,3,4,5,6,7,8,9,10,11,12
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0
560.0,400.0,240.0,399.99999999999994,540.125,465.296875,376.09375,426.921875,482.96875,413.25,289.1875,272.13247928215543,348.640625
400.0,560.0,400.0,240.0,321.15625,386.7421875,350.15625,454.578125,538.09375,623.1796875,476.7421875,314.8407506829656,218.9375
