0,1,2,3,4,5,6,7,8
3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0
560.0,320.0,319.99999999999994,367.0,524.8260960755481,655.4339499819246,475.671875,562.2734375,454.7578125
400.0,538.5640646055102,261.43593539448983,340.0,471.1261900301705,362.7782756784725,354.0,311.1328125,523.0
