0,1,2,3,4,5,6
3.0,3.0,3.0,3.0,3.0,3.0,2.0
560.0,240.0,630.6177015975293,471.90625,669.0625,371.609375,161.328125
400.0,400.0,470.6177015975293,394.8828125,362.90625,209.4140625,310.8974609375
