0,1,2,3,4,5,6,7,8,9,10,11,12,13
3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0
560.0,400.0,240.0,399.99999999999994,249.0625,523.125,214.453125,363.86701536029716,342.5767077026192,314.890625,517.8125,449.9375,689.375,693.8125
400.0,560.0,400.0,240.0,494.53125,297.609375,271.25,374.8217197298035,296.5482922973808,316.3984375,116.09375,465.1875,304.0625,595.375
